"name","skewness","kurtosis","entropy","sd","filename"
"DF_ANG_VX1",-0.064693395536511,-0.723618787073849,5.99205222815653,4.33484755261675,"DF_ANG_VX1"
"DF_ANG_VX10c",0.438050342221445,-0.389961873299241,6.64840116338147,3.33044024230053,"DF_ANG_VX10c"
"DF_ANG_VX11a",-0.153946982357666,-0.72134058202162,6.68025172221314,4.17189557587102,"DF_ANG_VX11a"
"DF_ANG_VX12",0.895360884378719,0.778983222824403,6.69901035315141,2.92238726654424,"DF_ANG_VX12"
"DF_ANG_VX13a",-0.214547368550326,0.302227042552,6.92528941356251,6.07059904922357,"DF_ANG_VX13a"
"DF_ANG_VX14",0.223766050461163,-0.206596583033835,6.40450726503392,4.85195651441799,"DF_ANG_VX14"
"DF_ANG_VX15",0.435707905457514,-0.362826005710063,6.27888064028344,3.72025853337857,"DF_ANG_VX15"
"DF_ANG_VX16a",-0.525948499801384,-0.563543943456671,6.07589566467109,7.627957552537,"DF_ANG_VX16a"
"DF_ANG_VX17",0.123886097124878,-0.606268040193098,6.17854073422307,5.22900842844841,"DF_ANG_VX17"
"DF_ANG_VX18",-0.234584072382031,-0.804861658489367,5.88757265333474,4.50344971293084,"DF_ANG_VX18"
"DF_ANG_VX19b",-0.101240207593155,-0.355093776980172,6.68352950414937,5.59187253145685,"DF_ANG_VX19b"
"DF_ANG_VX20a",-1.16207954054828,2.29786432071621,6.74641533046623,3.82915214487752,"DF_ANG_VX20a"
"DF_ANG_VX21b",-0.30723677072722,-0.143739471848704,6.38871851834344,5.01326707726306,"DF_ANG_VX21b"
"DF_ANG_VX22a",0.0135214001729397,-0.709574835151925,6.46945628751786,5.61245081026764,"DF_ANG_VX22a"
"DF_ANG_VX23",-0.289082230847583,-0.427143180290903,6.55716791601706,4.19087673726661,"DF_ANG_VX23"
"DF_ANG_VX24",0.1692235111854,-0.704130012461215,6.29860277531193,4.55948113633466,"DF_ANG_VX24"
"DF_ANG_VX25a",0.172524886122892,-0.152655110082258,6.69599434079749,4.34923560214004,"DF_ANG_VX25a"
"DF_ANG_VX26c",0.280770688701435,-0.150550650466238,6.94137700190599,4.24659423466331,"DF_ANG_VX26c"
"DF_ANG_VX27a",0.390232041730672,-0.193014112320524,6.68585191107376,3.33662000774646,"DF_ANG_VX27a"
"DF_ANG_VX28",0.146330653890426,-1.09703744086572,6.33044737027858,4.80928876704562,"DF_ANG_VX28"
"DF_ANG_VX29",0.225360947461689,-0.92676185231004,6.28242809277936,4.7413646740793,"DF_ANG_VX29"
"DF_ANG_VX2d",-1.07461187870302,1.758883860102,6.88964969856543,3.88265035792016,"DF_ANG_VX2d"
"DF_ANG_VX30a",0.0700148682035603,-0.75435934102004,6.34127356550776,4.62116654113975,"DF_ANG_VX30a"
"DF_ANG_VX3b",-0.303446627444362,-0.0474301174306619,6.21229429222913,4.08725867179517,"DF_ANG_VX3b"
"DF_ANG_VX4",0.495071781644257,-0.472038915846151,6.25817157291877,4.89174641466651,"DF_ANG_VX4"
"DF_ANG_VX5",-0.177951958020005,0.60589334809011,7.24719448387707,5.18072735696649,"DF_ANG_VX5"
"DF_ANG_VX6",0.718112541570987,0.223390775433887,6.6432851395605,3.94972892359932,"DF_ANG_VX6"
"DF_ANG_VX7",-1.16610411533855,0.548452992443077,6.19362858248602,6.21315847183202,"DF_ANG_VX7"
"DF_ANG_VX8a",0.178630757365423,-0.763294547624476,6.48842690325196,4.50647117785407,"DF_ANG_VX8a"
"DF_ANG_VX9a",-0.619971715776232,0.618881921296404,7.1165104735477,3.74586772251604,"DF_ANG_VX9a"
"DF_DIS_VX1",-0.783879660270589,1.26301386039479,6.46173344595385,2.25155278503084,"DF_DIS_VX1"
"DF_DIS_VX10",-1.19144389786113,0.53310056434856,6.66641566449444,2.91584742058742,"DF_DIS_VX10"
"DF_DIS_VX11",-0.706412702406254,1.66067058694696,6.50058148702785,2.76597634871168,"DF_DIS_VX11"
"DF_DIS_VX12b",-0.940461025070665,-0.0876601661976216,6.75095108427673,3.77883024350643,"DF_DIS_VX12b"
"DF_DIS_VX13b",-1.1499409781758,1.28464896870507,7.12827994276962,3.63569404471773,"DF_DIS_VX13b"
"DF_DIS_VX14",0.919381098617796,1.77592547993384,6.45652638109104,3.29872217797036,"DF_DIS_VX14"
"DF_DIS_VX15",-1.22703242664885,0.583786333786779,6.59148490923866,3.75637683587657,"DF_DIS_VX15"
"DF_DIS_VX16a",-0.799220906006678,0.582930242561667,6.71068153170922,3.47697236649746,"DF_DIS_VX16a"
"DF_DIS_VX17",-0.195658879028055,0.0671684092007258,6.32880444863124,2.20684349992847,"DF_DIS_VX17"
"DF_DIS_VX18a",-0.551057637155099,-0.640689743743871,6.75046084922799,3.11792411897386,"DF_DIS_VX18a"
"DF_DIS_VX19a",-0.346329161080736,0.871320233901934,6.84443884678134,3.10532073171773,"DF_DIS_VX19a"
"DF_DIS_VX20",-0.766503079049155,0.538087206149341,7.29372269407482,2.42401237141897,"DF_DIS_VX20"
"DF_DIS_VX21",-1.32679287587156,0.888417089052834,6.44998719041785,3.61079926096042,"DF_DIS_VX21"
"DF_DIS_VX22a",-1.08051807753021,0.43484884249209,6.68106886862555,3.14398056204673,"DF_DIS_VX22a"
"DF_DIS_VX23c",-1.74041585460652,2.3240214967068,6.92826861267362,3.35716403916031,"DF_DIS_VX23c"
"DF_DIS_VX24b",-1.01758435242978,1.95533177491384,6.96368395542754,3.22329325764954,"DF_DIS_VX24b"
